activity_index,br,hr,infrared_perf,sleep_classes,temp,time
85,14.9158447446268,51.7765915670049,226,4,3071,1485380543
754,14.9190803671594,49.5652477382161,219,4,3071,1485380553
1412,14.9222435956797,49.3880064059894,223,4,3071,1485380563
1535,14.925431189547,50.9089787969821,269,4,3067,1485380573
1071,14.9286415929974,52.0601758127984,343,4,3055,1485380583
1418,14.9315940823468,51.9240335820264,425,4,3049,1485380593
1402,14.9339129304165,50.8708245833219,509,4,3048,1485380603
858,14.9359610440642,49.7609665964794,529,4,3048,1485380613
72,14.9371796254867,49.8789609197828,535,4,3044,1485380623
88,14.9374263734527,51.6300197243946,520,4,3039,1485380633
72,14.9374263734527,54.2738825804351,496,4,3028,1485380643
54,14.9371426395641,55.9025599173106,482,4,3026,1485380653
51,14.9361361365086,55.7450008144906,464,4,3026,1485380663
76,14.9348930113656,54.4158720220346,445,4,3025,1485380673
1504,14.9334283733434,52.5384673637707,439,4,3024,1485380683
1386,14.9317980999256,50.8848064354162,484,4,3024,1485380694
1274,14.9302831660452,51.6757288141863,585,4,3025,1485380704
1246,14.9287774627612,55.293103908688,627,4,3024,1485380714
1233,14.9273109122795,60.0574116965329,675,4,3024,1485380724
1047,14.9258743339574,63.4413263208849,715,4,3024,1485380734
158,14.9247526285572,63.8091881064326,765,4,3023,1485380744
44,14.9243629909467,62.1965954150336,784,4,3021,1485380754
11,14.9243629909467,61.283072192915,786,4,3017,1485380764
34,14.9244821582767,61.8673084734992,752,4,3010,1485380774
15,14.9250024420598,62.5925298711193,797,4,3005,1485380784
12,14.9261370516614,62.4436093700318,782,4,3003,1485380794
10,14.9277274914448,61.5273912616829,740,4,3002,1485380804
11,14.9292494722037,61.366222694862,697,4,3003,1485380814
10,14.9303556647506,62.6365995225869,663,4,3003,1485380824
15,14.930807784632,63.2777664576993,630,4,3003,1485380834
15,14.930807784632,60.7846731098539,622,4,3005,1485380844
13,14.9303210385335,55.5968879306951,598,4,3009,1485380854
96,14.9287846903484,51.228633183483,568,4,3014,1485380864
104,14.9262696469441,50.6340451388869,585,4,3012,1485380874
22,14.9230053973234,53.2543770452995,658,4,3015,1485380884
41,14.9191189155047,55.9184534695102,679,4,3020,1485380895
749,14.9152265325367,54.8180572641028,663,4,3023,1485380905
259,14.9114112987394,51.7271984415762,704,4,3020,1485380915
22,14.9078874381181,50.5802479246544,767,4,3020,1485380925
169,14.9045412826271,52.726926787089,797,4,3022,1485380935
228,14.901619005122,56.5989327586602,841,4,3023,1485380945
96,14.8991729351945,59.4319405330584,890,4,3023,1485380955
244,14.8969780932641,59.7723841183705,925,4,3024,1485380965
25,14.8952931007714,58.638410120774,954,4,3024,1485380975
17,14.8939190593111,57.1621669006657,945,4,3024,1485380985
103,14.8928847004556,55.4428988914965,901,4,3024,1485380995
125,14.8922319593041,53.3071582079065,865,4,3025,1485381005
94,14.8916727358973,50.7736639232815,840,4,3027,1485381015
74,14.891245737536,48.1579387559214,819,4,3037,1485381025
27,14.8908993815746,46.2901223353382,802,4,3045,1485381035
39,14.8904113658318,45.957228091747,774,4,3048,1485381045
67,14.8897642019583,47.119105076349,773,4,3048,1485381055
69,14.889011066288,49.1607598936355,809,4,3048,1485381065
71,14.8880311156986,51.2899744840477,808,4,3048,1485381075
57,14.8869128336377,52.645395938615,812,4,3048,1485381085
55,14.8856300732521,52.8338273603133,812,4,3048,1485381096
22,14.8844175412009,52.6214255173995,801,4,3049,1485381106
21,14.8831869611968,53.1345826763336,790,4,3052,1485381116
14,14.8819257969613,54.2185095038506,781,4,3066,1485381126
12,14.8806503386862,54.4415029511337,771,4,3067,1485381136
15,14.8793748804111,52.4565100191054,769,4,3070,1485381146
26,14.878099422136,49.1311154875906,752,4,3071,1485381156
21,14.8768376786357,47.1115219320962,752,4,3071,1485381166
19,14.8756065193612,47.2681663418456,801,4,3071,1485381176
11,14.8743896541151,47.9429885554872,809,4,3071,1485381186
27,14.8732254390442,47.7245252289507,786,4,3073,1485381196
26,14.872102823826,46.917675937151,791,4,3077,1485381206
25,14.8710907222917,47.2403742232984,833,4,3087,1485381216
12,14.8703154051514,49.6297992457636,839,4,3088,1485381226
35,14.8696507529288,52.3980210632792,844,4,3092,1485381236
12,14.8693848920397,53.9174933749892,877,4,3091,1485381246
176,14.8693848920397,54.4396456620637,861,4,3094,1485381256
32,14.8694155739895,54.7855023379955,882,4,3093,1485381266
14,14.8696270063796,55.2968390244057,975,4,3083,1485381276
9,14.869788039519,55.1477258042439,984,4,3077,1485381286
11,14.8698105159423,54.207709752599,940,4,3078,1485381297
11,14.8698105159423,54.6206189162854,888,4,3088,1485381307
11,14.8693005281191,56.8725512131991,901,4,3092,1485381317
15,14.8679466919435,59.2302094930699,892,4,3094,1485381327
16,14.866324877707,60.6545004218737,849,4,3095,1485381337
18,14.863032269912,61.0930872439013,832,4,3095,1485381347
13,14.8588173490055,60.3530820680721,823,4,3098,1485381357
11,14.8537765338777,58.6883595908644,863,4,3112,1485381367
11,14.8472666880147,56.2738805849685,931,4,3118,1485381377
9,14.840262716298,54.2971351904506,952,4,3118,1485381387
11,14.832745762621,53.8452239356474,931,4,3119,1485381397
11,14.824945632444,53.8299434835232,897,4,3122,1485381407
10,14.8170992530998,53.7040233805325,861,4,3133,1485381417
10,14.8092148103864,54.0126350175697,828,4,3140,1485381427
11,14.8013175646145,54.7777048270802,800,4,3142,1485381437
11,14.7919176708666,55.4782283169385,776,4,3142,1485381447
11,14.7816882857066,55.9514993525396,753,4,3142,1485381457
10,14.7699121192604,56.188531464518,730,4,3144,1485381467
11,14.7552132655773,56.2766250157356,706,4,3153,1485381477
